driver_id;car_id;first_name;last_name;experience;score;date_of_birthday;adress;document_number
6875;2217;James;Green;32;4.14;2004-08-11;444 Lake View, Denver, CO 80201;158558
1951;1220;Dorothy;Walker;15;4.15;1981-05-19;Sagrada Família 401, Barcelona, Spain 08013;134808
9311;7061;Dennis;Rodriguez;44;3.35;1989-04-20;Shibuya Crossing 2, Tokyo, Japan 150-0043;165355
2328;7185;Virginia;Green;24;3.6;1969-04-21;444 Lake View, Denver, CO 80201;830805
4381;9474;Mary;Miller;25;4.36;1971-03-30;123 Main Street, New York, NY 10001;929714
6599;5848;Virginia;Garcia;47;4.56;1972-01-24;159 Birch Street, San Antonio, TX 78201;515093
9979;609;Sarah;Brown;38;4.03;1982-04-27;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;908571
1593;9056;Deborah;Lopez;47;4.88;1968-11-21;246 Spruce Road, Dallas, TX 75201;299813
5996;3392;Michael;Thomas;31;3.05;1989-01-28;222 Park Avenue, Boston, MA 02101;972142
1638;4823;Margaret;Hernandez;49;4.58;1960-10-25;Red Square 1, Moscow, Russia 109012;905625
4008;2911;Virginia;Gonzalez;18;3.62;1964-02-03;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;479060
4005;4737;Justin;Davis;37;4.97;2005-10-31;987 Cedar Lane, Philadelphia, PA 19101;246939
7113;7249;Raymond;Clark;16;4.21;1985-09-20;789 Pine Road, Chicago, IL 60601;7566
3930;1899;Jack;Mitchell;47;4.81;1971-08-22;666 Ocean Avenue, Miami, FL 33101;756990
4907;9599;Betty;Jackson;37;4.52;1961-10-09;Burj Khalifa 1, Dubai, UAE;747452
1838;5857;Frank;Torres;6;4.11;2002-01-12;654 Maple Drive, Phoenix, AZ 85001;838572
9133;7242;Charles;Garcia;50;4.11;1964-12-24;Piazza San Marco 1, Venice, Italy 30124;982238
9888;726;Frank;Rodriguez;11;3.03;1978-09-11;Sagrada Família 401, Barcelona, Spain 08013;732930
7448;9686;Susan;Campbell;50;3.4;1997-12-07;Burj Khalifa 1, Dubai, UAE;558685
2706;3544;Brandon;Martin;8;3.74;1984-12-10;Table Mountain Rd, Cape Town, South Africa 8001;387862
3208;8286;Emily;Nelson;9;4.96;1971-08-04;456 Oak Avenue, Los Angeles, CA 90001;985121
1873;1095;Helen;Johnson;24;3.81;2006-11-05;Sagrada Família 401, Barcelona, Spain 08013;1502
258;2432;Dorothy;Johnson;3;3.65;1968-08-23;654 Maple Drive, Phoenix, AZ 85001;404199
8537;6543;Sandra;Jackson;38;4.05;1962-04-29;789 Pine Road, Chicago, IL 60601;360136
1932;4466;James;Williams;8;4.14;1981-12-11;Table Mountain Rd, Cape Town, South Africa 8001;26568
3151;1003;Matthew;Garcia;32;4.04;1994-03-31;159 Birch Street, San Antonio, TX 78201;248722
9647;4296;Emily;Gonzalez;11;3.96;1965-10-17;333 River Road, Seattle, WA 98101;466961
4327;5284;Larry;Thomas;27;3.66;2007-08-13;321 Elm Boulevard, Houston, TX 77001;353449
196;7013;Frank;Young;17;3.11;1976-11-30;456 Oak Avenue, Los Angeles, CA 90001;476586
2395;390;Nancy;Wilson;4;3.75;2005-03-28;159 Birch Street, San Antonio, TX 78201;92584
371;8930;Robert;White;1;4.42;1987-01-26;222 Park Avenue, Boston, MA 02101;141747
4494;9044;Christine;Mitchell;28;4.64;2005-09-18;456 Oak Avenue, Los Angeles, CA 90001;850421
5290;8193;Mark;Martinez;17;4.46;1999-05-09;321 Elm Boulevard, Houston, TX 77001;782668
3041;4917;Daniel;Martinez;32;4.05;2001-12-08;987 Cedar Lane, Philadelphia, PA 19101;573011
9071;2649;Patrick;Carter;13;3.89;2002-02-09;Piazza San Marco 1, Venice, Italy 30124;536354
1346;4166;Sharon;Davis;43;4.88;1963-11-25;Sagrada Família 401, Barcelona, Spain 08013;406823
7886;4662;Debra;Thompson;45;4.44;1997-11-16;Marina Bay Sands 10, Singapore 018956;308454
1561;5006;Dennis;Wright;24;3.38;1974-08-24;987 Cedar Lane, Philadelphia, PA 19101;559924
2870;4227;Thomas;Scott;6;4.13;1967-03-17;666 Ocean Avenue, Miami, FL 33101;544982
5145;6478;George;Torres;37;3.42;1988-01-08;555 Mountain Street, Washington, DC 20001;570960
1278;6850;Emily;Thompson;25;4.42;1991-03-11;753 Willow Avenue, San Diego, CA 92101;194472
488;2890;Melissa;Martin;2;4.87;2003-09-24;789 Pine Road, Chicago, IL 60601;412389
7226;8270;Thomas;Jones;47;4.04;1961-12-14;222 Park Avenue, Boston, MA 02101;283083
8809;4373;Raymond;King;47;3.15;1983-02-12;456 Oak Avenue, Los Angeles, CA 90001;86630
5166;5114;Kenneth;Williams;49;4.85;1984-04-08;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;582774
892;9;Paul;Lee;1;3.19;1972-06-24;666 Ocean Avenue, Miami, FL 33101;9566
1479;207;Scott;Scott;22;4.61;1967-02-27;Forbidden City 4, Beijing, China 100006;672469
9077;1431;Brenda;Wright;8;4.3;1999-06-28;159 Birch Street, San Antonio, TX 78201;369571
4076;8365;Donna;Gonzalez;18;4.72;2002-07-15;Champs-Élysées 75, Paris, France 75008;789580
1795;5349;Larry;Johnson;45;3.91;1963-04-26;Red Square 1, Moscow, Russia 109012;62129
5908;4203;Christine;Sanchez;3;3.67;1977-04-06;Champs-Élysées 75, Paris, France 75008;303912
6337;4853;Dennis;Flores;5;3.18;1988-04-12;444 Lake View, Denver, CO 80201;185581
3524;182;Barbara;Carter;50;4.15;1971-04-28;333 River Road, Seattle, WA 98101;23282
2264;8134;John;Adams;24;3.69;1989-12-12;Burj Khalifa 1, Dubai, UAE;681794
940;6100;Rebecca;Clark;40;3.0;1982-02-23;789 Pine Road, Chicago, IL 60601;362025
3105;8180;Emily;Thomas;41;4.11;1968-10-06;555 Mountain Street, Washington, DC 20001;945185
9655;9790;Christine;King;29;4.71;1964-06-08;222 Park Avenue, Boston, MA 02101;980852
8625;4889;Janet;Jackson;28;3.73;1977-02-06;Piazza San Marco 1, Venice, Italy 30124;244451
8404;5794;Joshua;Walker;26;4.05;1977-02-11;Red Square 1, Moscow, Russia 109012;429160
5427;7315;Christopher;Nguyen;6;4.08;1988-12-01;456 Oak Avenue, Los Angeles, CA 90001;196227
884;1959;Ryan;Miller;37;3.08;1990-03-01;Burj Khalifa 1, Dubai, UAE;961930
2215;2831;Scott;Johnson;33;3.07;1978-03-19;654 Maple Drive, Phoenix, AZ 85001;954275
7134;8536;Andrew;Harris;0;4.26;1999-07-03;Sydney Opera House, Sydney, Australia 2000;434576
2318;1071;Samuel;Martin;45;3.15;1993-10-17;Forbidden City 4, Beijing, China 100006;325416
4981;844;Brandon;Hernandez;12;4.81;1962-01-13;159 Birch Street, San Antonio, TX 78201;598940
4131;7344;Sandra;Clark;42;4.17;1970-07-18;987 Cedar Lane, Philadelphia, PA 19101;200741
7214;489;Mark;Lewis;27;4.54;1983-05-25;Marina Bay Sands 10, Singapore 018956;806301
2840;3120;Kevin;Carter;39;3.74;1988-11-11;Champs-Élysées 75, Paris, France 75008;32801
6182;7143;Laura;Johnson;29;3.09;1988-05-30;123 Main Street, New York, NY 10001;32151
117;3989;Jonathan;Roberts;0;4.77;1977-11-27;Gyeongbokgung Palace 161, Seoul, South Korea 03045;722670
3655;3521;Donald;Green;44;3.04;1961-05-22;Red Square 1, Moscow, Russia 109012;570571
1842;8145;Ryan;Martin;32;4.97;1973-06-17;Table Mountain Rd, Cape Town, South Africa 8001;815152
5570;1574;Brenda;Jackson;0;4.2;1979-02-10;Red Square 1, Moscow, Russia 109012;321682
9014;3329;Patricia;Nelson;33;4.51;1972-11-17;Taj Mahal, Agra, India 282001;168248
1579;25;Patrick;Wright;24;3.44;1981-02-05;Taj Mahal, Agra, India 282001;872773
1898;3850;Thomas;Rodriguez;35;4.88;1978-05-19;654 Maple Drive, Phoenix, AZ 85001;246113
9377;3541;Maria;Young;29;4.43;1998-12-17;789 Pine Road, Chicago, IL 60601;982269
2854;513;Kevin;Baker;45;3.98;1993-11-06;123 Main Street, New York, NY 10001;794497
4990;8602;Ruth;Carter;15;4.56;1988-04-25;789 Pine Road, Chicago, IL 60601;523086
6314;5140;Michelle;Lee;19;4.89;1991-03-01;Forbidden City 4, Beijing, China 100006;819301
3715;8162;Rachel;Young;0;4.4;1989-04-18;CN Tower 301, Toronto, Canada M5V 2T6;602952
7680;2753;Ashley;Flores;49;4.0;1989-05-10;Gyeongbokgung Palace 161, Seoul, South Korea 03045;40728
4306;9507;Christopher;Martin;44;3.71;1982-01-05;Brandenburger Tor 1, Berlin, Germany 10117;900961
8474;3328;George;Green;15;4.92;1983-09-21;Brandenburger Tor 1, Berlin, Germany 10117;278030
5286;7638;Scott;Nelson;25;3.13;1974-03-18;864 Palm Drive, San Jose, CA 95101;413832
5027;9174;Ruth;Sanchez;21;4.22;2007-08-29;159 Birch Street, San Antonio, TX 78201;837169
246;3870;Jerry;Hall;11;4.99;1965-08-16;864 Palm Drive, San Jose, CA 95101;157181
9883;7960;Nancy;Lee;21;3.38;2003-11-15;Brandenburger Tor 1, Berlin, Germany 10117;359022
1050;5654;Eric;Anderson;28;4.11;2004-06-14;Brandenburger Tor 1, Berlin, Germany 10117;234366
9129;1522;Samuel;Roberts;29;3.45;1967-01-16;159 Birch Street, San Antonio, TX 78201;287501
702;317;Anna;Taylor;29;3.66;1974-09-26;Forbidden City 4, Beijing, China 100006;924238
3607;2352;Christopher;Thomas;25;4.69;2001-04-01;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;546196
9064;7413;Robert;Moore;35;4.37;2000-08-03;Marina Bay Sands 10, Singapore 018956;588034
7707;1604;Emma;Hill;20;3.13;1979-01-05;Marina Bay Sands 10, Singapore 018956;398809
2522;5402;Samantha;Lee;24;3.55;1966-07-13;Taj Mahal, Agra, India 282001;294317
6877;4094;Dorothy;Jackson;2;3.58;1969-07-18;Piazza San Marco 1, Venice, Italy 30124;295118
8223;4949;Jerry;Nguyen;8;4.26;1965-01-03;Piazza San Marco 1, Venice, Italy 30124;97322
8656;0;Janet;Hill;15;4.03;1976-03-04;789 Pine Road, Chicago, IL 60601;238868
1040;5890;Samuel;Johnson;37;4.72;1977-03-09;555 Mountain Street, Washington, DC 20001;641392
7846;2946;Rachel;King;46;4.6;1998-12-23;Brandenburger Tor 1, Berlin, Germany 10117;845357
9127;9274;Dennis;Johnson;2;4.52;1999-09-25;789 Pine Road, Chicago, IL 60601;472055
7508;8520;Samuel;Hernandez;20;4.84;1964-10-05;Red Square 1, Moscow, Russia 109012;643990
140;9627;Betty;Taylor;44;4.3;2004-09-26;Brandenburger Tor 1, Berlin, Germany 10117;110277
7482;5127;Mark;Wright;48;4.13;1967-05-04;753 Willow Avenue, San Diego, CA 92101;298609
9738;3301;Jennifer;Ramirez;20;4.72;1970-12-15;Table Mountain Rd, Cape Town, South Africa 8001;870124
4647;1094;Helen;Lee;1;3.21;1977-09-13;666 Ocean Avenue, Miami, FL 33101;732728
7689;3843;Larry;Moore;46;3.54;1961-02-05;864 Palm Drive, San Jose, CA 95101;357924
1568;2111;Samantha;Martinez;41;3.21;1997-03-05;333 River Road, Seattle, WA 98101;774154
3602;9926;Steven;Smith;42;3.89;1991-02-22;Table Mountain Rd, Cape Town, South Africa 8001;884860
8568;2278;Nancy;Brown;21;3.03;1994-10-10;Taj Mahal, Agra, India 282001;452285
662;8;Matthew;Wilson;45;4.47;1963-06-27;Table Mountain Rd, Cape Town, South Africa 8001;30036
7272;8986;Carolyn;Rivera;32;4.99;1965-02-09;753 Willow Avenue, San Diego, CA 92101;725808
1613;3963;Laura;Green;22;4.22;1961-06-17;Piazza San Marco 1, Venice, Italy 30124;93723
2957;6546;Jerry;Thompson;10;4.23;1977-05-15;CN Tower 301, Toronto, Canada M5V 2T6;556685
5997;8021;George;Hernandez;3;4.87;1992-12-03;159 Birch Street, San Antonio, TX 78201;303474
1229;7015;Nicholas;Lewis;21;4.81;1991-10-04;Burj Khalifa 1, Dubai, UAE;951152
3124;1673;William;Davis;11;4.12;1985-10-09;333 River Road, Seattle, WA 98101;904049
8004;6907;Ashley;Davis;3;4.33;2000-08-13;Burj Khalifa 1, Dubai, UAE;11831
954;8211;Elizabeth;Nelson;3;4.12;1962-08-20;246 Spruce Road, Dallas, TX 75201;876084
7391;8927;Maria;Flores;5;3.9;1980-07-19;Champs-Élysées 75, Paris, France 75008;250370
9461;1485;Edward;Young;10;3.98;1990-04-03;Piazza San Marco 1, Venice, Italy 30124;844602
9695;5981;Gary;Thompson;40;4.26;1979-05-10;333 River Road, Seattle, WA 98101;973607
5543;3515;Steven;Perez;25;4.37;1978-12-17;Red Square 1, Moscow, Russia 109012;373781
2719;7888;Brandon;Clark;5;3.03;1980-02-09;789 Pine Road, Chicago, IL 60601;394604
8049;7855;Sarah;Williams;39;3.23;1978-10-26;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;490827
6131;7921;Amanda;Hill;31;4.04;1998-12-14;Burj Khalifa 1, Dubai, UAE;527131
1867;8263;Frank;Thompson;4;4.67;2007-08-25;666 Ocean Avenue, Miami, FL 33101;941051
3113;7994;Jacob;Brown;31;3.25;1964-04-19;555 Mountain Street, Washington, DC 20001;30646
1079;7359;Brian;Scott;25;3.98;1981-08-17;222 Park Avenue, Boston, MA 02101;789419
3091;6643;Eric;Garcia;14;3.76;2006-12-08;Shibuya Crossing 2, Tokyo, Japan 150-0043;22161
2552;3367;Patrick;Davis;18;3.68;1993-01-28;Taj Mahal, Agra, India 282001;840389
4610;3533;Mary;Sanchez;22;3.44;1980-03-31;654 Maple Drive, Phoenix, AZ 85001;244065
4989;6449;Sandra;Rodriguez;45;3.73;1964-01-18;321 Elm Boulevard, Houston, TX 77001;256000
6210;7155;Eric;Adams;43;4.0;2001-01-09;Marina Bay Sands 10, Singapore 018956;220453
7704;1655;Jessica;Hall;25;4.44;1998-08-26;Champs-Élysées 75, Paris, France 75008;842505
642;1633;Lisa;Smith;25;3.22;1964-12-02;321 Elm Boulevard, Houston, TX 77001;355094
5990;6593;Dennis;Williams;27;3.21;1994-01-19;159 Birch Street, San Antonio, TX 78201;952865
3283;1684;Nicholas;Torres;44;4.67;1985-12-10;Gyeongbokgung Palace 161, Seoul, South Korea 03045;748695
8411;3309;Rachel;Allen;39;3.31;1991-02-12;222 Park Avenue, Boston, MA 02101;777842
89;771;Carol;Campbell;33;4.61;2003-10-24;Table Mountain Rd, Cape Town, South Africa 8001;968500
6060;6652;Anna;Brown;20;3.19;1977-08-18;Burj Khalifa 1, Dubai, UAE;809541
5272;3096;Gary;Taylor;44;3.77;1996-07-29;666 Ocean Avenue, Miami, FL 33101;987527
8113;6869;Susan;Anderson;33;4.36;1979-09-01;456 Oak Avenue, Los Angeles, CA 90001;345065
2571;5513;Janet;Brown;4;3.77;2001-02-22;Sydney Opera House, Sydney, Australia 2000;899468
696;9568;Jessica;Lopez;33;3.99;1997-12-15;159 Birch Street, San Antonio, TX 78201;11063
5653;2277;Susan;Mitchell;45;3.94;1983-08-14;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;18791
9023;9879;Linda;Wright;19;4.18;1993-08-15;753 Willow Avenue, San Diego, CA 92101;334473
3360;5024;Andrew;Hall;31;3.96;1996-01-28;789 Pine Road, Chicago, IL 60601;422808
3030;7982;Larry;Wright;34;4.01;1998-01-15;654 Maple Drive, Phoenix, AZ 85001;95153
1667;8739;Gary;Smith;25;3.21;1985-03-05;Table Mountain Rd, Cape Town, South Africa 8001;418563
4756;1503;Jeffrey;Perez;28;3.39;1991-09-30;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;760198
5897;9531;Thomas;Anderson;43;3.67;1972-12-28;Piazza San Marco 1, Venice, Italy 30124;381255
2454;1660;Christine;Garcia;21;3.56;1971-04-01;Burj Khalifa 1, Dubai, UAE;120436
6458;1315;George;Hernandez;0;3.56;1961-10-13;123 Main Street, New York, NY 10001;870501
6307;4533;Charles;Roberts;21;4.89;1992-03-21;Marina Bay Sands 10, Singapore 018956;442958
4804;9991;Donald;Campbell;16;3.51;1978-09-30;333 River Road, Seattle, WA 98101;145302
3745;9990;George;Martin;41;3.81;2000-01-25;789 Pine Road, Chicago, IL 60601;688664
7730;4410;Brandon;Nelson;18;4.81;2003-10-22;Red Square 1, Moscow, Russia 109012;696346
6217;4579;Ronald;Miller;37;3.67;1977-04-28;987 Cedar Lane, Philadelphia, PA 19101;978576
9559;5905;Emily;Robinson;48;3.2;1995-12-04;Taj Mahal, Agra, India 282001;334267
4371;5204;Catherine;Baker;45;3.37;1987-09-27;Shibuya Crossing 2, Tokyo, Japan 150-0043;628197
8286;3306;Andrew;Rivera;40;4.28;1968-01-07;Champs-Élysées 75, Paris, France 75008;275137
6892;7075;Michael;Gonzalez;0;4.52;1969-09-06;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;553715
6277;7115;Brandon;Perez;40;3.71;1961-09-08;321 Elm Boulevard, Houston, TX 77001;58707
6686;5046;Brian;Gonzalez;44;3.85;1961-12-02;246 Spruce Road, Dallas, TX 75201;664361
1560;8651;Carolyn;Clark;0;3.06;2007-07-31;Champs-Élysées 75, Paris, France 75008;114618
9377;5243;Jerry;Smith;33;3.0;2007-07-12;444 Lake View, Denver, CO 80201;441234
1224;3486;Virginia;Brown;6;3.11;1994-09-01;123 Main Street, New York, NY 10001;154809
7369;5367;Deborah;Carter;19;4.95;1971-03-06;Piazza San Marco 1, Venice, Italy 30124;316079
4641;8894;Katherine;Baker;45;3.96;1982-06-25;Brandenburger Tor 1, Berlin, Germany 10117;980437
8861;6693;Steven;Perez;29;4.44;1964-03-23;Shibuya Crossing 2, Tokyo, Japan 150-0043;245488
7710;399;Scott;Walker;35;3.16;1968-03-08;CN Tower 301, Toronto, Canada M5V 2T6;594601
3084;5402;Anna;Carter;38;4.76;1992-07-17;CN Tower 301, Toronto, Canada M5V 2T6;706392
7480;6697;Brian;Taylor;43;4.95;1995-05-07;Champs-Élysées 75, Paris, France 75008;866187
5652;5367;Jennifer;Rodriguez;37;3.66;2000-08-19;Sydney Opera House, Sydney, Australia 2000;355253
9351;9468;Matthew;Mitchell;0;4.1;1992-09-10;555 Mountain Street, Washington, DC 20001;55294
6555;5011;Joseph;Mitchell;12;4.95;1983-02-24;Taj Mahal, Agra, India 282001;342270
4959;8573;Samuel;Lewis;20;4.83;1991-11-02;666 Ocean Avenue, Miami, FL 33101;792660
7959;4324;Ronald;Campbell;33;4.04;1999-01-13;Shibuya Crossing 2, Tokyo, Japan 150-0043;478116
6225;3423;Helen;Gonzalez;35;4.94;1965-10-07;Sydney Opera House, Sydney, Australia 2000;973279
